x,id,label,left_id,left_model,left_extended_title,right_id,right_model,right_extended_title
302,4691,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3300,,lenovo thinkpad t460s touch windows 8.1 intel core i7 6600u 12gb 1tb ssd 14 ips fhd 1920x1080 touchscreen 
176,2613,0,a1838,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,w3088,,lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 
198,2940,1,a1919,,lenovo thinkpad t470s windows 10 intel core i7 7500u 16gb 512gb ssd 14 ips fhd 1920x1080 ,w3353,,pcie touch lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 1tb nvme ssd 14 ips fhd 1920x1080 touchscreen 
116,1585,0,a1429,xps9550 10000slv,de10020 dell xps 15 9550 15.6 4k touch i7 6700hq nvida gtx960m 16gb 1tb ssd xps9550 10000slv unknown,w3490,xps13r2 1100slv,dell 13.3 xps 13 xps13r2 1100slv pc intel core i7 3537u windows 8 microsoft
168,2528,1,a1799,hp pavilion,2018 hp 15.6 fhd 1080p intel core i7 7500u 3.5 ghz 12gb ddr4 256gb ssd no windows 10 pavilion,w1429,hp pavilion 15t t9y85av,hp pavilion 15t uhd 4k touchscreen intel i7 quad core 32gb nvidia geforce 960m 512gb ssd 15.6 uhd 3840 x 2160 touchscreen windows 10 t9y85av 
373,5832,1,a389,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 512gb ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,w3021,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6500u 512gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520 
120,1667,1,a1484,hp envy x360,2018 hp envy x360 2 1 15.6 fhd touchscreen amd quad core fx 9800p 2.7ghz 8gb ddr4 256gb ssd 802.11ac 4.0 usb 3.0，hdmi， windows 10 ,w760,hp envy 15t fhd touch,newest hp envy 15t pc full hd touchscreen intel i7 8 gb 1tb hdd 128 gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 
297,4655,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3246,,pcie touch lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 512gb nvme ssd 14 ips fhd 1920x1080 touchscreen 
112,1550,1,a1411,80xl03bqus,lenovo ideapad 320 80xl03bqus 2.70 ghz 12 gb 256 gb ssd nvidia geforce 940mx 15.6 windows 10 home,w2549,80xl03ccus,lenovo ideapad 320 15ikb core i3 4gb 1tb 80xl03ccus windows 10
264,4111,1,a2252,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd 120hz 5ms g sync intel core i7 7700hq 16gb ddr4 gtx 1060 256gb nvme ssd 1tb hdd windows 10 wi fi 1 prostar,w1580,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd ips g sync intel core i7 7700hq 8gb ddr4 gtx 1060 128gb ssd 1tb hdd windows 10 wi fi 1 p650hp6 g microsoft 
255,3952,1,a2162,6tdjt,dell 6tdjt xps 13 13.3 qhd touch intel core i7 7500u 8gb lpddr3 256gb solid state windows 10 ,w841,6tdjt,dell xps 13 9360 13.3 core i7 7500u 8 gb 256 gb ssd 6tdjt windows 10
136,1934,1,a1672,hp pavilion 15 au067cl,hp pavilion 15.6 touchscreen intel i5 6200u 8gb ddr4 1tb hdd 802.11ac b&o windows 10 15 au067cl,w1455,hp pavilion 15t,2016 hp pavilion 15t 15.6 fhd touchscreen intel i5 16gb 240gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 microsoft
190,2841,1,a1919,,lenovo thinkpad t470s windows 10 intel core i7 7500u 16gb 512gb ssd 14 ips fhd 1920x1080 ,w3199,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 20gb 256gb ssd 14 ips fhd 1920x1080 
313,4789,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3458,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 2tb nvme ssd 14 ips wqhd 2560x1440 
229,3466,1,a1997,,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,w3207,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 512gb ssd 14 ips fhd 1920x1080 
126,1795,0,a159,p0b78ut#aba,hp chromebook 11 g4 ee 11.6 1366x768 intel celeron n2840 2.16ghz 16gb emmc ssd 4gb chrome p0b78ut#aba,w821,p0b93ut#aba,hp carbon 12.5 elitebook 725 g2 p0b93ut pc amd a10 7350b 4gb touch 180gb solid state windows 10 p0b93ut#aba
368,5714,1,a2961,20fd003rus,lenovo thinkpad yoga 260 12.5 core i5 6300u 180gb ssd 8gb win 10 20fd003rus unknown,w291,20fd002hus,lenovo thinkpad yoga 260 20fd002hus 12.5 2 1 intel 20fd002hus windows 10 edition
415,6349,1,a68,gx501vs xs71,asus gx501vs xs71 rog zephyrus gx501 15.6” full hd 120hz gtx 1070 intel core i7 256gb ssd 16gb ddr4 asus windows pro,w1492,gx501vs xs71,asus gx501vs xs71 i7 7700hq 2.8ghz 3.8ghz asus windows 10
320,4893,0,a25,i5379 5043gry pus,dell inspiron 13 5000 2 1 13.3 touch 8th gen intel core i5 8250u 8gb 1 tb i5379 5043gry pus windows 10,w64,i5579 7978gry pus,dell inspiron 15.6 2 1 i7 8550u 8gb 1tb hd keyboar i5579 7978gry pus windows 10
133,1891,1,a163,81ca0008us,lenovo flex 5 15.6 2 1 intel core i5 8250u 8gb ddr4 256gb ssd windows 10 81ca0008us ,w1038,81ca000fus,lenovo flex 5 1470 14 fhd touchscreen i7 8550u 8gb 256gb ssd win10 81ca000fus microsoft windows
33,412,1,a1138,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,w3386,,lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb ssd 14 ips fhd 1920x1080 
427,6553,0,a815,t8tjg,lenovo ideapad 15.6 hd pc amd a12 9720p quad core 8gb 1tb hdd rw 4.1 windows 10 t8tjg,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
162,2477,1,a1774,81c9000hus,lenovo 81c9000hus flex 5 1470 2 1 intel i7 8550u 16gb 1tb hdd 512gb ssd 14 windows 10 home,w993,81c9000eus,lenovo flex 5 14 ips fhd 1920 x 1080 2 1 touchscreen intel i5 8250u 8gb 256gb ssd 2gb nvidia geforce 940mx win 10 active stylus pen tablet 81c9000eus microsoft windows
34,429,1,a1138,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,w3410,,pcie touch lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 1tb nvme ssd 14 ips fhd 1920x1080 touchscreen 
44,528,0,a1174,t8tjg,eluktronics x p650hs g vr ready 15.6 120hz 5ms gamers pc intel i7 7700hq quad core win 10 8gb gddr5 nvidia geforce gtx 1070 g sync 512gb nvme ssd 32gb ddr4 t8tjg windows 64 bit,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
97,1384,0,a1352,thinkpad p50,lenovo thinkpad p50 windows 7 intel i7 6700hq 64gb 1tb ssd 15.6 fhd ips 1920x1080 nvidia quadro m1000m ac wi fi thinkpad professional,w2599,thinkpad,refurbished lenovo thinkpad t430 i5 2.6ghz 8gb 240ssd windows 10 64 cam 
85,1128,1,a1347,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,w3082,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 256gb ssd 14 ips fhd 1920x1080 
61,843,1,a1269,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,w3386,,lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb ssd 14 ips fhd 1920x1080 
167,2524,1,a1791,,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 512gb ssd 15.6 fhd 1920x1080 touchscreen win 10 windows,w99,hp 15 02395 fhd me21,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 2tb hdd 1tb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me21 microsoft windows
