id,left_id,left_model,left_extended_title,right_id,right_model,right_extended_title
0,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w1389,nh.q1taa.001,refurbished acer 17.3 intel core i7 2.8 ghz 16 gb 1 tb hdd 256 gb ssd windows 10 nh.q1taa.001
1,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w1396,nh.q1aaa.001,manufacturer acer predator g9 793 79pe 17.3 intel core i7 6700hq 2.6 ghz 16gb 1tb hdd 256gb ssd windows 10 nh.q1aaa.001
2,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w1504,nh.q1faa.001,refurbished acer 17.3 intel core i7 2.9 ghz 32 gb 1 tb hdd 512 gb ssd windows 10 nh.q1faa.001 windows
3,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w1516,nh.q1eaa.001,refurbished acer 17.3 intel core i7 2.9 ghz 32 gb 1 tb hdd 512 gb ssd windows 10 nh.q1eaa.001
4,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w1661,nh.q13aa.001,refurbished acer 17.3 intel core i7 2.7 ghz 32 gb 1 tb hdd windows 10 gx 791 758v nh.q13aa.001
5,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w2300,nh.q1caa.001,acer 15.6 intel core i7 2.6ghz 16 gb 1 tb hdd 256 gb ssd windows 10 g9 593 72vt nh.q1caa.001
6,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w2425,nh.q23aa.001,acer aspire v 15 nitro 7 593g 76ss 15.6 core i7 7700hq 2.8 ghz 16 gb 1 tb hdd obsidian nh.q23aa.001 windows 10
7,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w2479,nh.q2laa.001,refurbished acer predator intel core i7 2.8 ghz 32 gb 512 gb ssd windows 10 nh.q2laa.001
8,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w2557,g3 572 72yf var 1,acer predator helios 300 g3 572 72yf w free bundle! 15.6” intel core i7 7700hq nvidia geforce gtx 1060 16gb ddr4 256gb ssd 1tb hdd var windows
9,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w2596,nh.q23aa.001,refurbished acer 15.6 intel core i7 2.8ghz 16 gb 1 tb hdd windows 10 vn7 593g 76ss nh.q23aa.001
10,a0,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,w4519,nh.q1raa.001,refurbished acer predator 21 gx21 71 76zf i7 3.9ghz 1tb pce ssd 64 gb gtx 1080 sli nh.q1raa.001 windows
11,a1001,v b0728jv216,dell inspiron 15 7559 15.6 fhd pc intel i7 6700hq quad core 16gb 1tb hdd 8gb ssd nvidia geforce gtx 960m 4gb gddr5 windows 10 v b0728jv216,w1367,i7559 3763blk,dell inspiron 15.6 fhd intel core i7 6700hq 3.5 ghz nvidia geforce gtx 960m 4gb gddr5 graphic 16gb ddr3 hd 1tb hd i7559 3763blk windows 10
12,a1002,v1p90ut#aba,hp elitebook 1040 g3 pc v1p90ut energy star intel core i5 6200u 8gb 256gb ssd win10 dg win7 v1p90ut#aba windows 64 available through downgrade rights from windows 64 ,w2733,v1p91ut#aba,hp elitebook 1040 g3 14 core i5 6300u 8 gb 256 gb ssd v1p91ut#aba windows 7
13,a1002,v1p90ut#aba,hp elitebook 1040 g3 pc v1p90ut energy star intel core i5 6200u 8gb 256gb ssd win10 dg win7 v1p90ut#aba windows 64 available through downgrade rights from windows 64 ,w2943,v1p90ut#aba,hp elitebook 1040 g3 14 core i5 6200u 8 gb 256 gb ssd v1p90ut#aba windows 7
14,a1002,v1p90ut#aba,hp elitebook 1040 g3 pc v1p90ut energy star intel core i5 6200u 8gb 256gb ssd win10 dg win7 v1p90ut#aba windows 64 available through downgrade rights from windows 64 ,w2946,v1p89ut#aba,hp elitebook 1040 g3 14 core i5 6200u 8 gb 128 gb ssd v1p89ut#aba windows 7
15,a1002,v1p90ut#aba,hp elitebook 1040 g3 pc v1p90ut energy star intel core i5 6200u 8gb 256gb ssd win10 dg win7 v1p90ut#aba windows 64 available through downgrade rights from windows 64 ,w3019,v1p91ut#aba,hp inc. sb notebooks v1p91ut#aba 1040 i5 6300u 2.4g microsoft windows
16,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w1013,20hy0000us,lenovo thinkpad 11e 20hy0000us 11.6 touchscreen lcd chromebook 20hy0000us os
17,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w1196,20gl0006us,lenovo thinkpad 13 chromebook 13.3 celeron 3855u 4 gb 16 gb ssd 20gl0006us os
18,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w1800,20j00000us,lenovo thinkpad 11e chromebook 11.6 celeron n3450 4 gb 32 gb ssd 20j00000us os
19,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w1819,20gl0000us 2 zzz,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us 2 zzz os
20,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w1840,20hv0000us,lenovo thinkpad 11e 20hv0000us 11.6 lcd netbook microsoft windows windows 10 
