id,product title,brand,model,operating system,combo
a0,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk,acer,nh.q28aa.001,windows 10,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk nh.q28aa.001 windows
a1,acer aspire e 15 15.6 full hd 8th gen intel core i5-8250u geforce mx150 8gb ram memory 256gb ssd e5-576g-5762,acer,e5-576g-5762,windows 10,acer aspire e 15 15.6 full hd 8th gen intel core i5-8250u geforce mx150 8gb ram memory 256gb ssd e5-576g-5762 windows 10
a2,asus vivobook f510ua fhd laptop intel core i5-8250u 8gb ram 1tb hdd usb-c nanoedge display fingerprint windows 10 star gray (f510ua-ah51),asus,f510ua-ah51,windows 10,asus vivobook f510ua fhd laptop intel core i5-8250u 8gb ram 1tb hdd usb-c nanoedge display fingerprint windows 10 star gray (f510ua-ah51) asus
a3,asus c302ca-dhm4 chromebook flip 12.5-inch touchscreen convertible chromebook intel core m3 4gb ram 64gb flash storage all-metal body usb type c corning gorilla glass chrome os,asus,c302ca-dhm4,chrome,asus c302ca-dhm4 chromebook flip 12.5-inch touchscreen convertible chromebook intel core m3 4gb ram 64gb flash storage all-metal body usb type c corning gorilla glass chrome os asus
a4,asus chromebook c202sa-ys02 11.6 ruggedized and water resistant design with 180 degree (intel celeron 4 gb 16gb emmc dark blue silver),asus,c202sa-ys02,chrome,asus chromebook c202sa-ys02 11.6 ruggedized and water resistant design with 180 degree (intel celeron 4 gb 16gb emmc dark blue silver) asus
a5,samsung chromebook 3 11.6 4gb ram 16gb emmc chromebook (xe500c13-k04us),samsung,xe500c13-k04us,chrome os,samsung chromebook 3 11.6 4gb ram 16gb emmc chromebook (xe500c13-k04us) os
a6,samsung chromebook 3 11.6 4gb ram 16gb emmc chromebook (xe500c13-k04us),samsung,xe500c13-k04us,chrome os,samsung chromebook 3 11.6 4gb ram 16gb emmc chromebook (xe500c13-k04us) os
a7,hp 15.6-inch hd touchscreen laptop (intel quad core pentium n3710 1.6ghz 4gb ddr3l-1600 memory 500 gb hdd dvd burner hdmi hd webcam win 10),hp,15-bs020wm,windows 10,hp 15.6-inch hd touchscreen laptop (intel quad core pentium n3710 1.6ghz 4gb ddr3l-1600 memory 500 gb hdd dvd burner hdmi hd webcam win 10) 15-bs020wm windows
a8,hp 14 inch stream laptop intel celeron n3060 processor 4gb ram 32gb emmc 1-year office 365 personal included hdmi,hp,x7s52ua#aba,windows 10,hp 14 inch stream laptop intel celeron n3060 processor 4gb ram 32gb emmc 1-year office 365 personal included hdmi x7s52ua#aba windows 10
a9,acer nitro 5 gaming laptop intel core i5-7300hq geforce gtx 1050 ti 15.6 full hd 8gb ddr4 256gb ssd an515-51-55wl,acer,an515-51-55wl,windows 10,acer nitro 5 gaming laptop intel core i5-7300hq geforce gtx 1050 ti 15.6 full hd 8gb ddr4 256gb ssd an515-51-55wl windows
