id,product_title,brand,model,operating_system,extended_title
a0,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk,acer,nh.q28aa.001,windows 10,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows
a1,acer aspire e 15 15.6 full hd 8th gen intel core i5 8250u geforce mx150 8gb 256gb ssd e5 576g 5762,acer,e5 576g 5762,windows 10,acer aspire e 15 15.6 full hd 8th gen intel core i5 8250u geforce mx150 8gb 256gb ssd e5 576g 5762 windows 10
a2,asus vivobook f510ua fhd intel core i5 8250u 8gb 1tb hdd usb c nanoedge windows 10 star f510ua ah51 ,asus,f510ua ah51,windows 10,asus vivobook f510ua fhd intel core i5 8250u 8gb 1tb hdd usb c nanoedge windows 10 star f510ua ah51 asus
a3,asus c302ca dhm4 chromebook flip 12.5 touchscreen convertible chromebook intel core m3 4gb 64gb all usb c corning gorilla glass chrome os,asus,c302ca dhm4,chrome,asus c302ca dhm4 chromebook flip 12.5 touchscreen convertible chromebook intel core m3 4gb 64gb all usb c corning gorilla glass chrome asus
a4,asus chromebook c202sa ys02 11.6 ruggedized 180 degree intel celeron 4 gb 16gb emmc ,asus,c202sa ys02,chrome,asus chromebook c202sa ys02 11.6 ruggedized 180 degree intel celeron 4 gb 16gb emmc asus
a5,samsung chromebook 3 11.6 4gb 16gb emmc chromebook xe500c13 k04us ,samsung,xe500c13 k04us,chrome os,samsung chromebook 3 11.6 4gb 16gb emmc chromebook xe500c13 k04us os
a6,samsung chromebook 3 11.6 4gb 16gb emmc chromebook xe500c13 k04us ,samsung,xe500c13 k04us,chrome os,samsung chromebook 3 11.6 4gb 16gb emmc chromebook xe500c13 k04us os
a7,hp 15.6 hd touchscreen intel quad core pentium n3710 1.6ghz 4gb ddr3l 1600 500 gb hdd hdmi hd win 10 ,hp,15 bs020wm,windows 10,hp 15.6 hd touchscreen intel quad core pentium n3710 1.6ghz 4gb ddr3l 1600 500 gb hdd hdmi hd win 10 15 bs020wm windows
a8,hp 14 stream intel celeron n3060 4gb 32gb emmc 1 office 365 hdmi,hp,x7s52ua#aba,windows 10,hp 14 stream intel celeron n3060 4gb 32gb emmc 1 office 365 hdmi x7s52ua#aba windows 10
a9,acer nitro 5 intel core i5 7300hq geforce gtx 1050 ti 15.6 full hd 8gb ddr4 256gb ssd an515 51 55wl,acer,an515 51 55wl,windows 10,acer nitro 5 intel core i5 7300hq geforce gtx 1050 ti 15.6 full hd 8gb ddr4 256gb ssd an515 51 55wl windows
a10,2018 hp 15.6 amd a6 9220 dual core 2.50ghz 4gb 500gb hdd amd radeon r4 rw hdmi hdmi windows 10 ,hp,15t,windows 10,2018 hp 15.6 amd a6 9220 dual core 2.50ghz 4gb 500gb hdd amd radeon r4 rw hdmi hdmi windows 10 hp 15t
a11,dell xps9560 7001slv pus 15.6 4k touch 7th gen core i7 3.8 ghz 16gb 512gb ssd nvidia gpu gtx 1050 chassis,dell,xps9560 7001slv pus,windows 10,dell xps9560 7001slv pus 15.6 4k touch 7th gen core i7 3.8 ghz 16gb 512gb ssd nvidia gpu gtx 1050 windows
a12,apple 13.3 macbook air ,apple,mlh72ll a,mac x,apple 13.3 macbook air mlh72ll a x
a13,dell inspiron 15.6 hd touchscreen pc intel core i5 7200u 8gb 2tb hdd rw windows 10 ,dell,i3567 5664blk pus,windows 10,dell inspiron 15.6 hd touchscreen pc intel core i5 7200u 8gb 2tb hdd rw windows 10 i3567 5664blk pus
a14,hp stream pc 14 ax020nr intel celeron n3060 4 gb 32 gb emmc office 365 for one year,hp,14 ax020nr,windows 10,hp stream pc 14 ax020nr intel celeron n3060 4 gb 32 gb emmc office 365 for one windows 10
a15,acer aspire 1 14 full hd intel celeron n3450 4gb 32gb windows 10 a114 31 c4hh,acer,a114 31 c4hh,windows 10,acer aspire 1 14 full hd intel celeron n3450 4gb 32gb windows 10 a114 31 c4hh 
a16,2018 dell pc 15.6 hd intel i3 7100u 8gb ddr4 1tb hdd hdmi rw maxxaudio windows 10 black,dell,,windows 10,2018 dell pc 15.6 hd intel i3 7100u 8gb ddr4 1tb hdd hdmi rw maxxaudio windows 10 
a17,acer chromebook 14 14 full hd intel celeron quad core n3160 4gb lpddr3 32gb chrome cb3 431 c5fm,acer,nx.gc2aa.007,chrome,acer chromebook 14 14 full hd intel celeron quad core n3160 4gb lpddr3 32gb chrome cb3 431 c5fm nx.gc2aa.007
a18,acer aspire r 15 2 1 15.6 full hd touch 7th gen intel core i7 geforce 940mx 12gb ddr4 256gb ssd r5 571tg 7229,acer,r5 571tg 7229,windows 10,acer aspire r 15 2 1 15.6 full hd touch 7th gen intel core i7 geforce 940mx 12gb ddr4 256gb ssd r5 571tg 7229 windows 10
a19,asus vivobook 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd 1tb hdd geforce gtx 1050 4gb m580vd eb76,asus,m580vd eb76,windows 10,asus vivobook 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd 1tb hdd geforce gtx 1050 4gb m580vd eb76 asus windows
a20,microsoft surface book 2 intel core i7 16gb 512gb 15,microsoft,fux 00001,windows 10 pro,microsoft surface book 2 intel core i7 16gb 512gb 15 fux 00001 windows 10 pro
a21,2018 dell inspiron 15 5000 15.6 full hd touchscreen pc intel core i5 8250u quad core 8gb ddr4 1tb hdd rw 4.2 windows 10,dell,t8tjg,windows 10,2018 dell inspiron 15 5000 15.6 full hd touchscreen pc intel core i5 8250u quad core 8gb ddr4 1tb hdd rw 4.2 windows 10 t8tjg
a22,dell i7577 5241blk pus inspiron 7th gen intel core i5 gtx 1060 6gb 8gb 128gb ssd 1tb hdd 15.6 black,dell,i7577 5241blk pus,windows 10 home,dell i7577 5241blk pus inspiron 7th gen intel core i5 gtx 1060 6gb 8gb 128gb ssd 1tb hdd 15.6 windows home
a23,msi gl62m 7rex 1896us 15.6 full hd quad core i7 7700hq geforce gtx 1050ti 4g 8gb dram 128gb ssd 1tb steelseries keyboard,msi,gl62m 7rex 1896us,windows 10 home,msi gl62m 7rex 1896us 15.6 full hd quad core i7 7700hq geforce gtx 1050ti 4g 8gb dram 128gb ssd 1tb steelseries windows home
a24,asus vivobook & 17 full hd intel i7 8550u 16gb 256gb ssd 1tb hdd nvidia geforce gtx 1050backlit windows 10 star n705ud eh76,asus,n705ud eh76,windows 10,asus vivobook & 17 full hd intel i7 8550u 16gb 256gb ssd 1tb hdd nvidia geforce gtx 1050backlit windows 10 star n705ud eh76 asus
a25,dell inspiron 13 5000 2 1 13.3 touch 8th gen intel core i5 8250u 8gb 1 tb i5379 5043gry pus ,dell,i5379 5043gry pus,windows 10,dell inspiron 13 5000 2 1 13.3 touch 8th gen intel core i5 8250u 8gb 1 tb i5379 5043gry pus windows 10
a26,apple macbook mjlq2ll a 15 2.2 ghz intel core i7 16gb 256 gb mac x ,apple,mjlq2ll a,mac x,apple macbook mjlq2ll a 15 2.2 ghz intel core i7 16gb 256 gb mac x 
a27,2018 lenovo pc 15.6 touchscreen intel 8th gen i5 8250u quad core 12gb ddr4 1tb hdd rw hdmi dolby windows 10,lenovo_320,t8tjg,windows 10,2018 lenovo pc 15.6 touchscreen intel 8th gen i5 8250u quad core 12gb ddr4 1tb hdd rw hdmi dolby windows 10 lenovo_320 t8tjg windows
a28,asus fx503vm 15.6” fhd powerful intel core i7 7700hq quad core 2.8ghz 3.8ghz 3gb gtx 1060 128gb ssd 1tb hdd 16gb ddr4 windows 10,asus,fx503vm eh73,windows 10,asus fx503vm 15.6” fhd powerful intel core i7 7700hq quad core 2.8ghz 3.8ghz 3gb gtx 1060 128gb ssd 1tb hdd 16gb ddr4 windows 10 asus fx503vm eh73
