_id,ltable_id,rtable_id,ltable_model,ltable_combo,rtable_model,rtable_combo
47,a1016,w831,,msi gt75vr202 titan pro vr ready premium 17.3 inch gaming and business laptop (intel i7 quad core 64gb ram 1tb hdd + 128gb ssd 17.3 fhd (1920 x 1080) display nvidia geforce gtx 1080 win 10 home) michaelelectronics2 windows 10,hp-15-02332-fhd-me,hp pavilion 15t gaming and business power touch laptop ( intel i7 quad corenvidia geforce 1050 8gb ram 2tb hdd 15.6 inch full hd (1920 x 1080) touch win 10)-black with acid green michaelelectronics2 hp-15-02332-fhd-me microsoft windows
101,a1047,w1511,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hp6 windows 10,n855hj,prostar clevo n855hj 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj microsoft windows 10
111,a1047,w1547,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hp6 windows 10,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 256gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 microsoft?? windows 10 (64-bit)??
203,a1105,w3114,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 10 pro,len-15-01217-p71me8,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 512gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me8 microsoft windows
211,a1105,w3185,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 10 pro,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 128gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 7
251,a1113,w3527,md231ll/a,apple macbook air md231ll/a 13.3-inch laptop (old version) apple md231ll/a mac os x v10.8 mountain lion,md231ll/a-refurb a,refurbished grade a apple macbook air 13.3 intel core i5 3427u processor 4gb memory 128gb ssd mac os x silver apple md231ll/a-refurb a mac os x 10.10.5
297,a1116,w3437,,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 windows 10,hp-13-02365-fhd-me8,hp spectre x360 13t premium convertible ultrabook laptop in dark ash silver (intel i7 processor 16gb ram 2tb ssd thunderbolt 3 13.3 fhd (1920x1080) touchscreen active stylus pen win 10 pro ) michaelelectronics2 hp-13-02365-fhd-me8 microsoft windows
347,a1124,w352,hp envy x360 2in1 i5,2017 hp envy x360 15.6 touchscreen 2-in-1 ips fhd (1920 x 1080) laptop pc | intel core i5-7200u | 12gb ddr4 ram | 1tb hdd | backlit keyboard | bluetooth | hdmi | b&o play | windows 10 hp hp envy x360 2in1 i5 windows 10,hp envy x360 -15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2-in-1 premium laptop / tablet (intel i7 processor 16gb ram 1tb hdd + 128gb ssd 15.6 inch fhd (1920 x 1080) touchscreen win 10 pro) michaelelectronics2 hp envy x360 -15t fhd touch laptop microsoft windows
360,a1135,w1064,t8tjg,hp envy 15t high performance laptop pc with uhd 4k touchscreen ( intel i7 processor 32 gb ram 1tb hdd + 512 gb ssd 15.6 inch uhd (3840 x 2160) touchscreen windows 10) hp t8tjg windows 10,hp envy 15t uhd 4k,newest hp envy 15t high performance laptop pc with uhd 4k touchscreen ( i7 processor 12 gb 1tb hdd + 128 gb ssd 15.6 inch uhd (3840 x 2160) touchscreen backlit keyboard bluetooth windows 10) hp hp envy 15t uhd 4k 
413,a1138,w3329,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 20gb ram 256gb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo windows 8
424,a1138,w3367,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 12gb ram 512gb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo windows 8
469,a1138,w548,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,lenovo thinkpad x1 yoga multimode ultrabook - windows 10 pro - intel i7-7600u 2tb ssd nvme-pcie 16gb ram 14 wqhd ips (2560x1440) touchscreen w/ pen input fingerprint reader thin & light - black lenovo windows 10
487,a1140,w786,hp envy 17t touch,hp envy 17t 17.3 full hd high performance touchscreen laptop pc (6th gen i7-6700hq quad-core processor 16gb ram 1tb hdddvd burner backlit keyboard windows 10) hp hp envy 17t touch windows 10,,newest hp envy 17t 17.3 full hd high performance touchscreen laptop pc (6th gen i7-6700hq quad-core processor 16gb ram 240gb ssddvd burner backlit keyboard windows 10) hp microsoft windows
