_id,ltable_id,rtable_id,ltable_model,ltable_extended_title,rtable_model,rtable_extended_title
0,a0,w1389,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q1taa.001,refurbished acer 17.3 intel core i7 2.8 ghz 16 gb 1 tb hdd 256 gb ssd windows 10 nh.q1taa.001
1,a0,w1396,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q1aaa.001,manufacturer acer predator g9 793 79pe 17.3 intel core i7 6700hq 2.6 ghz 16gb 1tb hdd 256gb ssd windows 10 nh.q1aaa.001
2,a0,w1504,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q1faa.001,refurbished acer 17.3 intel core i7 2.9 ghz 32 gb 1 tb hdd 512 gb ssd windows 10 nh.q1faa.001 windows
3,a0,w1516,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q1eaa.001,refurbished acer 17.3 intel core i7 2.9 ghz 32 gb 1 tb hdd 512 gb ssd windows 10 nh.q1eaa.001
4,a0,w1661,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q13aa.001,refurbished acer 17.3 intel core i7 2.7 ghz 32 gb 1 tb hdd windows 10 gx 791 758v nh.q13aa.001
5,a0,w2300,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q1caa.001,acer 15.6 intel core i7 2.6ghz 16 gb 1 tb hdd 256 gb ssd windows 10 g9 593 72vt nh.q1caa.001
6,a0,w2425,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q23aa.001,acer aspire v 15 nitro 7 593g 76ss 15.6 core i7 7700hq 2.8 ghz 16 gb 1 tb hdd obsidian nh.q23aa.001 windows 10
7,a0,w2479,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q2laa.001,refurbished acer predator intel core i7 2.8 ghz 32 gb 512 gb ssd windows 10 nh.q2laa.001
8,a0,w2557,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,g3 572 72yf var 1,acer predator helios 300 g3 572 72yf w free bundle! 15.6” intel core i7 7700hq nvidia geforce gtx 1060 16gb ddr4 256gb ssd 1tb hdd var windows
9,a0,w2596,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q23aa.001,refurbished acer 15.6 intel core i7 2.8ghz 16 gb 1 tb hdd windows 10 vn7 593g 76ss nh.q23aa.001
