id,product_title,brand,model,operating_system,extended_title
w0,iview i896qw 8.95 2 1 32gb tablet intel atom bay trail z3735f windows 10,iview,,microsoft windows,iview i896qw 8.95 2 1 32gb tablet intel atom bay trail z3735f windows 10 iview microsoft
w1,dell inspiron 2 1 11.6 touch intel pentium 4gb 500gb hd red,dell,i3168 3270red,windows 10,dell inspiron 2 1 11.6 touch intel pentium 4gb 500gb hd i3168 3270red windows 10
w2,iview maximus ii 11.6 touchscreen 2 1 windows 10 intel bay trail z3735f 2gb 32gb storage,iview,max2 bk,windows 10,iview maximus ii 11.6 touchscreen 2 1 windows 10 intel bay trail z3735f 2gb 32gb iview max2 bk
w3,direkt tek 11.6 convertible touchscreen windows 10 office 365 1 $69.99 value windows hello windows ink stylus ,direkt tek,dtlapy116 2 sl,microsoft windows,direkt tek 11.6 convertible touchscreen windows 10 office 365 1 $69.99 value windows hello windows ink stylus direkt tek dtlapy116 2 sl microsoft
w4,dell inspiron 11 3168 11.6 touchscreen 2 1 windows 10 intel celeron n3060 2gb 32gb emmc storage,dell,i3168 0027red,windows 10,dell inspiron 11 3168 11.6 touchscreen 2 1 windows 10 intel celeron n3060 2gb 32gb emmc i3168 0027red
w5,hp x2 10 p020nr 10.1 touchscreen 2 1 windows 10 intel atom x5 z8350 2gb 32gb emmc drive,hp,x7u40ua#aba,windows 10,hp x2 10 p020nr 10.1 touchscreen 2 1 windows 10 intel atom x5 z8350 2gb 32gb emmc x7u40ua#aba
w6,11.6 convertible touchscreen windows 10 office 365 1 $69.99 value intel 32gb front camera 8 hour battery,direkt tek,dtlapy116 1 sl,microsoft windows,11.6 convertible touchscreen windows 10 office 365 1 $69.99 value intel 32gb front camera 8 hour battery direkt tek dtlapy116 1 sl microsoft
w7,dell inspiron 15 5000 2 1 15.6 touch intel core i3 4gb 500gb 5400rpm hd gray,dell,i5578 3093gry,windows 10 64bit english,dell inspiron 15 5000 2 1 15.6 touch intel core i3 4gb 500gb 5400rpm hd i5578 3093gry windows 10 64bit english
w8,microsoft surface 4,microsoft,th2 00001,microsoft windows,microsoft surface 4 th2 00001 windows
w9,hp 10 p010nr 10.1 touchscreen 2 1 windows 10 intel atom x5 z8350 quad core 2gb 32gb storage,hp,x7u39ua#aba,windows 10,hp 10 p010nr 10.1 touchscreen 2 1 windows 10 intel atom x5 z8350 quad core 2gb 32gb x7u39ua#aba
w10,megatron 14.1 touch 2 1 convertible pc intel atom cherry trail z8300 2gb 32gb windows 10,iview,megatron,windows 10,megatron 14.1 touch 2 1 convertible pc intel atom cherry trail z8300 2gb 32gb windows 10 iview megatron
w11,iview maximus iii 11.6 convertible touchscreen 2 1 windows 10 intel atom 2gb 32gb 2mp front camera 2mp rear camera 10 hour battery blue,iview,ivmax3 bl,microsoft windows,iview maximus iii 11.6 convertible touchscreen 2 1 windows 10 intel atom 2gb 32gb 2mp front camera 2mp rear camera 10 hour battery iview ivmax3 bl microsoft
w12,dell inspiron 11 3000 2 1 11.6 hd intel pentium n3710 4gb 1600mhz ddr3l 500gb 5400 rpm intel hd graphics,dell,i3168 3271blu,windows 10 64bit english,dell inspiron 11 3000 2 1 11.6 hd intel pentium n3710 4gb 1600mhz ddr3l 500gb 5400 rpm intel hd i3168 3271blu windows 64bit english
w13,teqnio ell1103t 11.6 touchscreen 2 1 windows 10 intel cherrytrail z8350 2gb 32gb drive,epik,ell1103t bl,windows 10,teqnio ell1103t 11.6 touchscreen 2 1 windows 10 intel cherrytrail z8350 2gb 32gb epik ell1103t bl
w14,iview megatron ii 14.1 convertible touchscreen 2 1 windows 10 intel atom 2gb 32gb 2mp front camera 5mp rear camera 10 hour battery black,iview,ivmeg2 bk,microsoft windows,iview megatron ii 14.1 convertible touchscreen 2 1 windows 10 intel atom 2gb 32gb 2mp front camera 5mp rear camera 10 hour battery iview ivmeg2 bk microsoft
w15,dell inspiron 15 5000 2 1 15.6 fhd intel core i7 7500u 8gb 2400mhz ddr4 1tb 5400 rpm intel hd 620,dell,i5578 2550gry,windows 10 64bit english,dell inspiron 15 5000 2 1 15.6 fhd intel core i7 7500u 8gb 2400mhz ddr4 1tb 5400 rpm intel hd 620 i5578 2550gry windows 10 64bit english
