,_id,ltable_id,rtable_id,ltable_product title,ltable_combo,rtable_product title,rtable_combo
4,4,a1016,w1408,msi gt75vr202 titan pro vr ready premium 17.3 inch gaming and business laptop (intel i7 quad core 64gb ram 1tb hdd + 128gb ssd 17.3 fhd (1920 x 1080) display nvidia geforce gtx 1080 win 10 home),msi gt75vr202 titan pro vr ready premium 17.3 inch gaming and business laptop (intel i7 quad core 64gb ram 1tb hdd + 128gb ssd 17.3 fhd (1920 x 1080) display nvidia geforce gtx 1080 win 10 home) michaelelectronics2 ,hp omen 17 17.3'' uhd 4k gaming and business laptop (intel i7 quad core 1tb hdd +512gb ssd 17.3 inch uhd 3840 x 2160 16gb ram geforce gtx 1050 ti win 10),hp omen 17 17.3'' uhd 4k gaming and business laptop (intel i7 quad core 1tb hdd +512gb ssd 17.3 inch uhd 3840 x 2160 16gb ram geforce gtx 1050 ti win 10) michaelelectronics2 
14,14,a1016,w1667,msi gt75vr202 titan pro vr ready premium 17.3 inch gaming and business laptop (intel i7 quad core 64gb ram 1tb hdd + 128gb ssd 17.3 fhd (1920 x 1080) display nvidia geforce gtx 1080 win 10 home),msi gt75vr202 titan pro vr ready premium 17.3 inch gaming and business laptop (intel i7 quad core 64gb ram 1tb hdd + 128gb ssd 17.3 fhd (1920 x 1080) display nvidia geforce gtx 1080 win 10 home) michaelelectronics2 ,newest hp omen 17 17.3'' uhd 4k vr ready gaming and business laptop (intel i7 2tb hdd +128gb ssd 17.3 inch uhd 3840 x 2160 32gb ram geforce gtx 1060 win 10 pro),newest hp omen 17 17.3'' uhd 4k vr ready gaming and business laptop (intel i7 2tb hdd +128gb ssd 17.3 inch uhd 3840 x 2160 32gb ram geforce gtx 1060 win 10 pro) hp 
40,40,a1047,w1425,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hp6,prostar clevo gaming laptop n850hk1 15.6” fhd ips (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050ti 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo gaming laptop n850hk1 15.6” fhd ips (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050ti 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1
45,45,a1047,w1467,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hp6,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 512gb ssd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 512gb ssd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1
46,46,a1047,w1480,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hp6,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 16gb ddr4 gtx 1050 128gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 16gb ddr4 gtx 1050 128gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj
50,50,a1047,w1493,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hp6,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050ti 128gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050ti 128gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1
83,83,a1047,w1575,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hp6,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1050ti 512gb nvme ssd 1tb hdd windows 10 wi-fi+bluetooth 1-year warranty,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1050ti 512gb nvme ssd 1tb hdd windows 10 wi-fi+bluetooth 1-year warranty prostar n850hk1
108,108,a1060,w2000,hp 14 inch premium laptop (2018 new) intel celeron n3060 processor 4gb ram 32gb emmc storage office 365 personal 1-year included windows 10 home jet black,hp 14 inch premium laptop (2018 new) intel celeron n3060 processor 4gb ram 32gb emmc storage office 365 personal 1-year included windows 10 home jet black hp-14-4gb-32gb hp-14-4gb-32gb,hp stream 14-ax020nr 14 laptop windows 10 home office 365 personal 1-year subscription included intel celeron n3060 processor 4gb ram 32gb emmc storage,hp stream 14-ax020nr 14 laptop windows 10 home office 365 personal 1-year subscription included intel celeron n3060 processor 4gb ram 32gb emmc storage hp x7s45ua#aba
109,109,a1060,w2482,hp 14 inch premium laptop (2018 new) intel celeron n3060 processor 4gb ram 32gb emmc storage office 365 personal 1-year included windows 10 home jet black,hp 14 inch premium laptop (2018 new) intel celeron n3060 processor 4gb ram 32gb emmc storage office 365 personal 1-year included windows 10 home jet black hp-14-4gb-32gb hp-14-4gb-32gb,hp stream 14 laptop windows 10 home office 365 personal 1-year included intel celeron n3060 processor 4gb ram 32gb emmc storage,hp stream 14 laptop windows 10 home office 365 personal 1-year included intel celeron n3060 processor 4gb ram 32gb emmc storage hp x7s47ua#aba
119,119,a11,w1584,dell xps9560-7001slv-pus 15.6 ultra thin and light laptop with 4k touch screen display 7th gen core i7 (up to 3.8 ghz) 16gb 512gb ssd nvidia gaming gpu gtx 1050 aluminum chassis,dell xps9560-7001slv-pus 15.6 ultra thin and light laptop with 4k touch screen display 7th gen core i7 (up to 3.8 ghz) 16gb 512gb ssd nvidia gaming gpu gtx 1050 aluminum chassis dell xps9560-7001slv-pus,refurbished dell xps9560-7001slv-pus 15.6 laptop 7th gen core i7 (up to 3.8 ghz) 16gb 512gb ssd nvidia gaming gpu gtx 1050,refurbished dell xps9560-7001slv-pus 15.6 laptop 7th gen core i7 (up to 3.8 ghz) 16gb 512gb ssd nvidia gaming gpu gtx 1050 dell 
