id,product title,price,average battery life,brand,display resolution,hard disk size,laptop computer type,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a0,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,$1099.00,7 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,3.8 GHz Intel Core i7,4,3.8 GHz,16 GB,15.6in
a1,Acer Aspire E 15 15.6 Full HD 8th Gen Intel Core i5-8250U GeForce MX150 8GB RAM Memory 256GB SSD E5-576G-5762,$599.99,15 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,1.6 GHz Intel Core i5,4,1.6 GHz,8 GB,15.6in
a2,ASUS VivoBook F510UA FHD Laptop Intel Core i5-8250U 8GB RAM 1TB HDD USB-C NanoEdge Display Fingerprint Windows 10 Star Gray (F510UA-AH51),$599.99,,Asus,1920x1080 pixels,1000 GB,,Windows 10,1.6 GHz Intel Core i5,4,1.6 GHz,8 GB,15.6in
a3,ASUS C302CA-DHM4 Chromebook Flip 12.5-inch Touchscreen Convertible Chromebook Intel Core m3 4GB RAM 64GB Flash Storage All-Metal Body USB Type C Corning Gorilla Glass Chrome OS,$499.00,10 hours,Asus,1920x1080 pixels,64.0,Chrome,Chrome,2.2 GHz core_m,2,2.2 GHz,4 GB,12.5in
a4,ASUS Chromebook C202SA-YS02 11.6 Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB 16GB eMMC Dark Blue Silver),$224.99,10 hours,Asus,1366*768 pixels,16,,Chrome,1.6 GHz Intel Celeron,2,1.6 GHz,4 GB,11.6in
a5,Samsung Chromebook 3 11.6 4GB RAM 16GB eMMC Chromebook (XE500C13-K04US),$203.00,11 hours,Samsung,1366 x 768 pixels,16.0,Chrome,Chrome OS,1.6 GHz 8032,2,1.6 GHz,4 GB,11.6in
a6,Samsung Chromebook 3 11.6 4GB RAM 16GB eMMC Chromebook (XE500C13-K04US),$203.00,11 hours,Samsung,1366 x 768 pixels,16.0,Chrome,Chrome OS,1.6 GHz 8032,2,1.6 GHz,4 GB,11.6in
a7,HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz 4GB DDR3L-1600 Memory 500 GB HDD DVD Burner HDMI HD Webcam Win 10),$314.90,6 hours,HP,1366 x 768,500 GB,PC,Windows 10,2.5 GHz Athlon 2650e,4,2.5 GHz,4 GB,15.6in
a8,HP 14 Inch Stream Laptop Intel Celeron N3060 Processor 4GB RAM 32GB eMMC 1-year Office 365 Personal included HDMI,$200.00,5 hours,HP,,32 GB,PC,Windows 10,1.6 GHz Intel Celeron D,2,1.6 GHz,4 GB,14in
a9,Acer Nitro 5 Gaming Laptop Intel Core i5-7300HQ GeForce GTX 1050 Ti 15.6 Full HD 8GB DDR4 256GB SSD AN515-51-55WL,$739.00,8.5 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,2.5 GHz Intel Core i5,4,2.5 GHz,8 GB,15.6in
a10,2018 Newest HP Premium 15.6 Laptop AMD A6-9220 Dual-Core Processor 2.50GHz 4GB RAM 500GB HDD AMD Radeon R4 Graphics DVD-RW HDMI Bluetooth HDMI Webcam Windows 10 (Newest Model),$287.99,,hp,,500 GB,,Windows 10,AMD,2,2.5 GHz,4 GB,15.6in
a11,Dell XPS9560-7001SLV-PUS 15.6 Ultra Thin and Light Laptop with 4K touch screen display 7th Gen Core i7 (up to 3.8 GHz) 16GB 512GB SSD Nvidia Gaming GPU GTX 1050 Aluminum Chassis,$1584.00,,Dell,3840 x 2160 pixels,512.0,PC,Windows 10,3.8 GHz 8032,4,3.8 GHz,16 GB,15.6in
a12,Apple 13.3 MacBook Air ( Silver),$828.07,12 hours,Apple,1440x900,256,Mac,Mac OS X,2300 MHz Intel Core i5,2,2300 MHz,8 GB,12in
a13,Dell Inspiron 15.6 inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB RAM | 2TB HDD | DVD +/-RW | Bluetooth | WIFI | Windows 10 (Black),$478.58,5 hours,Dell,1366x768,2 TB,PC,Windows 10,2.5 GHz Intel Core Duo,2,2.5 GHz,8 GB,15.6in
a14,HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060 4 GB RAM 32 GB eMMC) with Office 365 Personal for one year,$203.99,10.45 hours,HP,1366 x 768 pixels,32,,Windows 10,1.6 GHz Intel Celeron,2,1.6 GHz,4 GB,14in
a15,Acer Aspire 1 14 Full HD Intel Celeron N3450 4GB RAM 32GB Storage Windows 10 Home A114-31-C4HH,$258.00,9 hours,Acer,1920 x 1080 pixels,32.0,,Windows 10,1.1 GHz Intel Celeron,4,1.1 GHz,4 GB,14in
a16,2018 Newest Dell Premium Business Flagship Laptop PC 15.6 HD LED-backlit Display Intel i3-7100U Processor 8GB DDR4 RAM 1TB HDD HDMI DVD-RW Bluetooth Webcam MaxxAudio Windows 10-Black,$460.00,,Dell,,1 TB,PC,Windows 10,2.4 GHz Intel Core i3,2,2.4 GHz,8 GB,15.6in
a17,Acer Chromebook 14 Aluminum 14-inch Full HD Intel Celeron Quad-Core N3160 4GB LPDDR3 32GB Chrome CB3-431-C5FM,$282.00,12 hours,Acer,1920 x 1080 pixels,32.0,,Chrome,1.6 GHz Intel Celeron,1,1.6 GHz,4 GB,14in
a18,Acer Aspire R 15 2-in-1 Laptop 15.6 Full HD Touch 7th Gen Intel Core i7 GeForce 940MX 12GB DDR4 256GB SSD R5-571TG-7229,$826.99,9 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,2.7 GHz Intel Core i7,1,2.7 GHz,12 GB,15.6in
a19,ASUS VivoBook Thin and Light Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ Processor 16GB DDR4 RAM 256GB SSD+1TB HDD GeForce GTX 1050 4GB backlit keyboard - M580VD-EB76,$999.00,,Asus,1920 x 1080 pixels,256.0,,Windows 10,2.8 GHz 8032,4,2.8 GHz,16 GB,15.6in
a20,Microsoft Surface Book 2 (Intel Core i7 16GB RAM 512GB) - 15,$2659.04,,Microsoft,3260x2160 pixels,512.0,,Windows 10 Pro,4.2 GHz 8032,4,4.2 GHz,16 GB,15in
a21,2018 Dell Inspiron 15 5000 Flagship 15.6 inch Full HD Touchscreen Backlit Keyboard Laptop PC Intel Core i5-8250U Quad-Core 8GB DDR4 1TB HDD DVD RW Bluetooth 4.2 WIFI Windows 10,$560.00,5 hours,Dell,,1 TB,PC,Windows 10,1.6 GHz Intel Core i5,4,1.6 GHz,8 GB,15.6in
a22,Dell i7577-5241BLK-PUS Inspiron LED Display Gaming Laptop - 7th Gen Intel Core i5 GTX 1060 6GB Graphics 8GB Memory 128GB SSD + 1TB HDD 15.6 Matte Black,$915.00,,Dell,1920 x 1080 pixels,128.0,PC,Windows 10 Home,3.5 GHz 8032,4,3.5 GHz,8 GB,15.6in
a23,MSI GL62M 7REX-1896US 15.6 Full HD Thin and Light Gaming Laptop Computer Quad Core i7-7700HQ GeForce GTX 1050Ti 4G Graphics 8GB DRAM 128GB SSD + 1TB Hard Drive Steelseries Red Backlit Keyboard,$959.00,,MSI,1920x1080 pixels,128.0,PC,Windows 10 Home,2.8 GHz Intel Core i7,1,2.8 GHz,8 GB,15.6in
a24,ASUS VivoBook Pro Thin & Light Laptop 17 Full HD  Intel i7-8550U Processor 16GB RAM 256GB SSD + 1TB HDD NVIDIA Gaming GeForce GTX 1050Backlit Keyboard Windows 10 Star Gray N705UD-EH76,$1089.99,,Asus,1920x1080 pixels,256.0,,Windows 10,1.8 GHz 8032,4,1.8 GHz,16 GB,17.3in
a25,Dell Inspiron 13 5000 2-in-1 - 13.3 Touch Display - 8th Gen Intel Core i5-8250U - 8GB Memory - 1 TB Hard Drive - Theoretical Gray (i5379-5043GRY-PUS),$628.00,7.25 hours,Dell,1920 x 1080 pixels,1000 GB,,Windows 10,3.4 GHz Intel Core i5,4,3.4 GHz,8 GB,13.3in
a26,Apple Macbook Pro MJLQ2LL/A 15-inch Laptop (2.2 GHz Intel Core i7 Processor 16GB RAM 256 GB Hard Drive Mac OS X) ,$1859.00,9 hours,Apple,2880x1800 pixels,16,Mac,Mac OS X,2.2 GHz Intel Core i7,1,2.2 GHz,16 GB,15in
a27,2018 Lenovo Business Flagship Laptop PC 15.6 Anti-Glare Touchscreen Intel 8th Gen i5-8250U Quad-Core Processor 12GB DDR4 RAM 1TB HDD DVD-RW Webcam HDMI Dolby Audio Windows 10,$615.00,,Lenovo_320,1366x768,1 TB,PC,windows 10,1.6 GHz Intel Core i5,4,1.6 GHz,8 GB,15.6in
a28,ASUS FX503VM 15.6” FHD Powerful Gaming Laptop Intel Core i7-7700HQ Quad-Core 2.8GHz (Turbo up to 3.8GHz) 3GB GTX 1060 128GB SSD + 1TB HDD 16GB DDR4 Windows 10,$1117.17,,Asus,1920x1080 pixels,128,,Windows 10,2.8 GHz 8032,4,2.8 GHz,16 GB,15.6in
a29,Microsoft Surface Book 13.5 i5 256GB Multi-Touch 2-in-1 Notebook (Silver),$865.00,,Microsoft,3000*2000 pixels,256,PC,Windows 10,2.4 GHz Intel Core i5,2,2.4 GHz,8 GB,13.5in
a30,Dell XPS 13 9360 Laptop (13.3 InfinityEdge TouchScreen FHD (1920x1080) Intel 8th Gen Quad-Core i5-8250U 128GB M.2 SSD 8GB RAM Backlit Keyboard Windows 10)- Silver,$899.00,,Dell,1920x1080,128 GB,PC,Windows 10,1.6 GHz Intel Core i5,4,1.6 GHz,8 GB,13.3in
a31,HP Pavilion Power GTX 1050 Gaming Laptop - 15 Full HD Intel Core i7-7700HQ  8GB RAM 128GB SSD + 1TB HDD Windows 10 Home Black - 15-cb077nr,$849.00,11 hours,HP,1920 x 1080 pixels,128.0,,Windows 10,2.8 GHz,4,2.8 GHz,8 GB,15.6in
