a_id		w_id
a0		w2300
a0		w2425
a0		w2479
a0		w2596
a1002		w2733
a1002		w2943
a1002		w2946
a1004		w1196
a1004		w1819
a1004		w1840
a1004		w1962
a1004		w2742
a1004		w2889
a1004		w856
a1013		w2265
a1013		w2389
a102		w1746
a1021		w2354
a1022		w36
a1027		w1097
a103		w2418
a103		w996
a1031		w4480
a1047		w1387
a1047		w1392
a1047		w1400
a1047		w1412
a1047		w1415
a1047		w1419
a1047		w1421
a1047		w1425
a1047		w1426
a1047		w1440
a1047		w1443
a1047		w1459
a1047		w1467
a1047		w1480
a1047		w1485
a1047		w1487
a1047		w1488
a1047		w1493
a1047		w1497
a1047		w1501
a1047		w1510
a1047		w1511
a1047		w1514
a1047		w1519
a1047		w1524
a1047		w1536
a1047		w1540
a1047		w1541
a1047		w1543
a1047		w1544
a1047		w1545
a1047		w1547
a1047		w1548
a1047		w1549
a1047		w1550
a1047		w1553
a1047		w1554
a1047		w1555
a1047		w1557
a1047		w1560
a1047		w1561
a1047		w1562
a1047		w1563
a1047		w1564
a1047		w1567
a1047		w1568
a1047		w1569
a1047		w1570
a1047		w1572
a1047		w1573
a1047		w1575
a1047		w1576
a1047		w1579
a1047		w1580
a1047		w1581
a1047		w1582
a1047		w1583
a1047		w1588
a1047		w1589
a1047		w1590
a1047		w1601
a1047		w1602
a1047		w1603
a1047		w1604
a1047		w1607
a1047		w1608
a1047		w1611
a1047		w1612
a1047		w1618
a1047		w1623
a105		w1992
a105		w1994
a105		w565
a105		w608
a1058		w1368
a1060		w1988
a1060		w1991
a1060		w2000
a1060		w2482
a1060		w2483
a1071		w2132
a1071		w2725
a1072		w40
a1073		w2486
a109		w685
a1094		w2444
a11		w1584
a11		w848
a1100		w265
a1105		w2687
a1107		w3536
a1109		w1068
a1109		w2619
a1109		w4572
a1109		w699
a1109		w708
a1109		w738
a1109		w768
a1109		w785
a1109		w793
a1113		w3534
a1113		w3551
a1113		w3952
a1113		w4117
a1114		w1360
a1116		w114
a1116		w145
a1116		w315
a1116		w322
a1116		w324
a1116		w333
a1116		w334
a1116		w336
a1116		w337
a1116		w339
a1116		w341
a1116		w343
a1116		w345
a1116		w348
a1116		w350
a1116		w351
a1116		w363
a1116		w364
a1116		w370
a1116		w371
a1116		w372
a1116		w385
a1116		w394
a1116		w397
a1116		w401
a1116		w403
a1116		w434
a1116		w99
a1119		w1729
a1119		w1757
a112		w1068
a112		w699
a112		w708
a112		w738
a112		w768
a112		w779
a112		w785
a112		w977
a1126		w2137
a1126		w2252
a1126		w2341
a1126		w2472
a1129		w1360
a1134		w2289
a1135		w1030
a1135		w1064
a1135		w760
a1135		w804
a1135		w813
a1135		w829
a1138		w3048
a1138		w3049
a1138		w3050
a1138		w3058
a1138		w3087
a1138		w3090
a1138		w3093
a1138		w3098
a1138		w3123
a1138		w3124
a1138		w3125
a1138		w3126
a1138		w3127
a1138		w3128
a1138		w3129
a1138		w3130
a1138		w3131
a1138		w3137
a1138		w3155
a1138		w3156
a1138		w3157
a1138		w3158
a1138		w3159
a1138		w3160
a1138		w3161
a1138		w3162
a1138		w3163
a1138		w3164
a1138		w3165
a1138		w3166
a1138		w3167
a1138		w3168
a1138		w3169
a1138		w3184
a1138		w3187
a1138		w3188
a1138		w3189
a1138		w3190
a1138		w3195
a1138		w3199
a1138		w3201
a1138		w3203
a1138		w3205
a1138		w3206
a1138		w3208
a1138		w3209
a1138		w3211
a1138		w3215
a1138		w3217
a1138		w3232
a1138		w3233
a1138		w3234
a1138		w3235
a1138		w3236
a1138		w3237
a1138		w3242
a1138		w3244
a1138		w3245
a1138		w3246
a1138		w3247
a1138		w3248
a1138		w3249
a1138		w3250
a1138		w3251
a1138		w3252
a1138		w3253
a1138		w3255
a1138		w3256
a1138		w3260
a1138		w3261
a1138		w3265
a1138		w3266
a1138		w3267
a1138		w3280
a1138		w3313
a1138		w3316
a1138		w3317
a1138		w3318
a1138		w3319
a1138		w3320
a1138		w3321
a1138		w3326
a1138		w3327
a1138		w3328
a1138		w3329
a1138		w3330
a1138		w3331
a1138		w3341
a1138		w3342
a1138		w3343
a1138		w3344
a1138		w3345
a1138		w3346
a1138		w3349
a1138		w3350
a1138		w3352
a1138		w3353
a1138		w3355
a1138		w3367
a1138		w3368
a1138		w3369
a1138		w3370
a1138		w3371
a1138		w3372
a1138		w3374
a1138		w3376
a1138		w3377
a1138		w3382
a1138		w3384
a1138		w3386
a1138		w3387
a1138		w3394
a1138		w3395
a1138		w3396
a1138		w3399
a1138		w3400
a1138		w3401
a1138		w3402
a1138		w3403
a1138		w3404
a1138		w3405
a1138		w3406
a1138		w3407
a1138		w3409
a1138		w3410
a1138		w3413
a1138		w3415
a1138		w3416
a1138		w3417
a1138		w3420
a1138		w3421
a1138		w3422
a1138		w3439
a1138		w3440
a1138		w3441
a1138		w3443
a1138		w3444
a1138		w3445
a1138		w3449
a1138		w3450
a1138		w3452
a1138		w3454
a1138		w3455
a1138		w3458
a1138		w3459
a1138		w3460
a1138		w3461
a1138		w3463
a1138		w3465
a1138		w3467
a1138		w3471
a1138		w3473
a1138		w3474
a1138		w3475
a1138		w3476
a1138		w3477
a1138		w3478
a1138		w3479
a114		w2719
a114		w2905
a1140		w624
a1140		w718
a1144		w2492
a1144		w654
a1145		w2438
a115		w1431
a1151		w3788
a116		w107
a116		w113
a1161		w240
a1161		w241
a1161		w376
a1161		w427
a1161		w513
a1161		w531
a1164		w802
a1166		w1309
a1166		w2320
a1166		w2450
a1166		w4539
a1166		w4551
a1166		w662
a1166		w724
a1169		w2289
a1172		w689
a1177		w224
a1177		w598
a1177		w600
a1177		w635
a1177		w64
a1177		w72
a1178		w1429
a1178		w1509
a1178		w1559
a1178		w1610
a1178		w1614
a1178		w1630
a1183		w2310
a1190		w1429
a1190		w1509
a1190		w1558
a1190		w1559
a1190		w1578
a1190		w1610
a1190		w1614
a1190		w1630
a1198		w2017
a1198		w2315
a1198		w771
a1198		w838
a1198		w943
a12		w3656
a1202		w3570
a1202		w3633
a1202		w3798
a1202		w3850
a1202		w4114
a1203		w2322
a1203		w2701
a1206		w2977
a1211		w2102
a1214		w2006
a1214		w2011
a1216		w2609
a1216		w665
a1216		w667
a1216		w796
a122		w2017
a122		w2315
a122		w771
a122		w838
a122		w943
a1226		w1713
a1226		w1792
a1226		w1860
a1228		w1559
a1228		w1578
a1228		w1610
a1228		w1614
a1228		w1630
a1234		w2737
a1241		w2687
a1245		w1688
a1246		w1413
a1249		w1485
a1249		w1579
a1249		w1580
a1249		w1588
a1249		w1589
a1249		w1590
a1249		w1601
a1249		w1603
a1249		w1604
a1249		w1607
a1249		w1608
a1249		w1611
a1249		w1612
a1249		w1618
a1249		w1623
a1249		w1633
a125		w609
a125		w613
a1256		w835
a1261		w1769
a1261		w1771
a1261		w1961
a1269		w3048
a1269		w3049
a1269		w3050
a1269		w3053
a1269		w3058
a1269		w3062
a1269		w3081
a1269		w3087
a1269		w3090
a1269		w3092
a1269		w3093
a1269		w3097
a1269		w3098
a1269		w3123
a1269		w3128
a1269		w3130
a1269		w3131
a1269		w3137
a1269		w3138
a1269		w3139
a1269		w3144
a1269		w3155
a1269		w3156
a1269		w3157
a1269		w3158
a1269		w3159
a1269		w3160
a1269		w3161
a1269		w3163
a1269		w3164
a1269		w3165
a1269		w3166
a1269		w3168
a1269		w3169
a1269		w3183
a1269		w3184
a1269		w3187
a1269		w3189
a1269		w3196
a1269		w3199
a1269		w3202
a1269		w3203
a1269		w3205
a1269		w3206
a1269		w3209
a1269		w3212
a1269		w3215
a1269		w3217
a1269		w3232
a1269		w3233
a1269		w3234
a1269		w3235
a1269		w3236
a1269		w3237
a1269		w3242
a1269		w3244
a1269		w3245
a1269		w3247
a1269		w3248
a1269		w3249
a1269		w3250
a1269		w3251
a1269		w3252
a1269		w3254
a1269		w3255
a1269		w3256
a1269		w3261
a1269		w3275
a1269		w3276
a1269		w3280
a1269		w3297
a1269		w3299
a1269		w3302
a1269		w3313
a1269		w3316
a1269		w3317
a1269		w3319
a1269		w3326
a1269		w3327
a1269		w3328
a1269		w3329
a1269		w3330
a1269		w3331
a1269		w3341
a1269		w3342
a1269		w3343
a1269		w3344
a1269		w3345
a1269		w3346
a1269		w3349
a1269		w3350
a1269		w3355
a1269		w3367
a1269		w3368
a1269		w3369
a1269		w3370
a1269		w3371
a1269		w3372
a1269		w3374
a1269		w3376
a1269		w3386
a1269		w3387
a1269		w3394
a1269		w3395
a1269		w3396
a1269		w3399
a1269		w3400
a1269		w3401
a1269		w3402
a1269		w3403
a1269		w3404
a1269		w3405
a1269		w3406
a1269		w3407
a1269		w3409
a1269		w3413
a1269		w3415
a1269		w3420
a1269		w3421
a1269		w3422
a1269		w3439
a1269		w3440
a1269		w3441
a1269		w3443
a1269		w3444
a1269		w3445
a1269		w3452
a1269		w3455
a1269		w3458
a1269		w3459
