#a_id,w_id,product title,amazon_price,walmart_price,brand,hard disk size,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a0,w2300,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,1099.0,1136.09,Acer,256.0,Windows 10,Intel,4,3.8,16.0,15.6
a0,w2425,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,1099.0,1084.99,Acer,256.0,Windows 10,Intel,4,3.8,16.0,15.6
a0,w2479,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,1099.0,2487.44,Acer,256.0,Windows 10,Intel,4,3.8,16.0,15.6
a0,w2596,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,1099.0,997.49,Acer,256.0,Windows 10,Intel,4,3.8,16.0,15.6
a1002,w2733,HP Elitebook Folio 1040 G3 Notebook PC (V1P90UT) Energy Star Intel Core i5-6200U 8GB RAM 256GB SSD Win10 DG Win7,1297.5,1358.27,HP,256.0,Windows 7,Intel,2,2.3,8.0,14.0
a1002,w2943,HP Elitebook Folio 1040 G3 Notebook PC (V1P90UT) Energy Star Intel Core i5-6200U 8GB RAM 256GB SSD Win10 DG Win7,1297.5,1298.0,HP,256.0,Windows 7,Intel,2,2.3,8.0,14.0
a1002,w2946,HP Elitebook Folio 1040 G3 Notebook PC (V1P90UT) Energy Star Intel Core i5-6200U 8GB RAM 256GB SSD Win10 DG Win7,1297.5,1309.18,HP,256.0,Windows 7,Intel,2,2.3,8.0,14.0
a1004,w1196,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,425.0,319.0,Lenovo,16.0,Chrome,Intel,2,1.6,4.0,13.3
a1004,w1819,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,425.0,469.72,Lenovo,16.0,Chrome,Intel,2,1.6,4.0,13.3
a1004,w1840,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,425.0,736.99,Lenovo,16.0,Chrome,Intel,2,1.6,4.0,13.3
a1004,w1962,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,425.0,670.94,Lenovo,16.0,Chrome,Intel,2,1.6,4.0,13.3
a1004,w2742,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,425.0,535.67,Lenovo,16.0,Chrome,Intel,2,1.6,4.0,13.3
a1004,w2889,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,425.0,856.77,Lenovo,16.0,Chrome,Intel,2,1.6,4.0,13.3
a1004,w856,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,425.0,319.0,Lenovo,16.0,Chrome,Intel,2,1.6,4.0,13.3
a1013,w2265,Dell 66TXP Latitude 5580 Laptop 15.6 FHD Intel Core i5-7300U 8GB DDR4 256GB Solid State Drive Windows 10 Pro,1073.0,724.67,Dell,256.0,Windows 10,Intel,2,2.6,8.0,15.6
