#a_id,w_id,product title,amazon_price,walmart_price,average battery life,brand,display resolution,hard disk size,laptop computer type,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a0,w2300,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,$1099.00,$1136.09,7 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,Intel,4,3.8 GHz,16 GB,15.6in
a0,w2425,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,$1099.00,$1084.99,7 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,Intel,4,3.8 GHz,16 GB,15.6in
a0,w2479,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,$1099.00,$2487.44,7 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,Intel,4,3.8 GHz,16 GB,15.6in
a0,w2596,Acer Predator Helios 300 Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ CPU 16GB DDR4 RAM 256GB SSD GeForce GTX 1060-6GB VR Ready Red Backlit KB Metal Chassis G3-571-77QK,$1099.00,$997.49,7 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,Intel,4,3.8 GHz,16 GB,15.6in
a1002,w2733,HP Elitebook Folio 1040 G3 Notebook PC (V1P90UT) Energy Star Intel Core i5-6200U 8GB RAM 256GB SSD Win10 DG Win7,$1297.50,$1358.27,9.75 hours,HP,1920 x 1080 pixels,256.0,PC,Windows 7,Intel,2,2.3 GHz,8 GB,14in
a1002,w2943,HP Elitebook Folio 1040 G3 Notebook PC (V1P90UT) Energy Star Intel Core i5-6200U 8GB RAM 256GB SSD Win10 DG Win7,$1297.50,$1298.00,9.75 hours,HP,1920 x 1080 pixels,256.0,PC,Windows 7,Intel,2,2.3 GHz,8 GB,14in
a1002,w2946,HP Elitebook Folio 1040 G3 Notebook PC (V1P90UT) Energy Star Intel Core i5-6200U 8GB RAM 256GB SSD Win10 DG Win7,$1297.50,$1309.18,9.75 hours,HP,1920 x 1080 pixels,256.0,PC,Windows 7,Intel,2,2.3 GHz,8 GB,14in
a1004,w1196,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,$425.00,$319.00,,Lenovo,1366 x 768 pixels,16 GB,,Chrome,Intel,2,1.6 GHz,4 GB,13.3in
a1004,w1819,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,$425.00,$469.72,10 Hours,Lenovo,1366 x 768 pixels,16 GB,,Chrome,Intel,2,1.6 GHz,4 GB,13.3in
a1004,w1840,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,$425.00,$736.99,,Lenovo,1366 x 768 pixels,16 GB,,Chrome,Intel,2,1.6 GHz,4 GB,13.3in
a1004,w1962,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,$425.00,$670.94,,Lenovo,1366 x 768 pixels,16 GB,,Chrome,Intel,2,1.6 GHz,4 GB,13.3in
a1004,w2742,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,$425.00,$535.67,0 h,Lenovo,1366 x 768 pixels,16 GB,,Chrome,Intel,2,1.6 GHz,4 GB,13.3in
a1004,w2889,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,$425.00,$856.77,,Lenovo,1366 x 768 pixels,16 GB,,Chrome,Intel,2,1.6 GHz,4 GB,13.3in
a1004,w856,Lenovo ThinkPad 13 Chromebook - Celeron 3855U 4GB RAM 16GB eMMC Chrome,$425.00,$319.00,0 h,Lenovo,1366 x 768 pixels,16 GB,,Chrome,Intel,2,1.6 GHz,4 GB,13.3in
