_id,ltable_id,rtable_id,ltable_product_title,ltable_price,ltable_brand,ltable_model,ltable_operating_system,ltable_extended_title,rtable_product_title,rtable_price,rtable_brand,rtable_model,rtable_operating_system,rtable_extended_title,predicted_match
5,a0,w2300,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk,$1.099.00,acer,nh.q28aa.001,windows 10,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk $1.099.00 nh.q28aa.001 windows,acer 15.6 intel core i7 2.6ghz 16 gb ram 1 tb hdd + 256 gb ssd windows 10 home|g9-593-72vt,$1.136.09,acer,nh.q1caa.001,windows 10,acer 15.6 intel core i7 2.6ghz 16 gb ram 1 tb hdd + 256 gb ssd windows 10 home|g9-593-72vt $1.136.09 nh.q1caa.001,1
6,a0,w2425,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk,$1.099.00,acer,nh.q28aa.001,windows 10,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk $1.099.00 nh.q28aa.001 windows,acer aspire v 15 nitro 7-593g-76ss 15.6? notebook - core i7 7700hq 2.8 ghz - 16 gb ram - 1 tb hdd - obsidian black,$1.084.99,acer,nh.q23aa.001,windows 10,acer aspire v 15 nitro 7-593g-76ss 15.6? notebook - core i7 7700hq 2.8 ghz - 16 gb ram - 1 tb hdd - obsidian black $1.084.99 nh.q23aa.001 windows 10,1
7,a0,w2479,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk,$1.099.00,acer,nh.q28aa.001,windows 10,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk $1.099.00 nh.q28aa.001 windows,refurbished acer predator laptop intel core i7 2.8 ghz 32 gb ram 512 gb ssd windows 10 home,$2.487.44,acer,nh.q2laa.001,windows 10,refurbished acer predator laptop intel core i7 2.8 ghz 32 gb ram 512 gb ssd windows 10 home $2.487.44 nh.q2laa.001,1
8,a0,w2596,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk,$1.099.00,acer,nh.q28aa.001,windows 10,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk $1.099.00 nh.q28aa.001 windows,refurbished acer 15.6 intel core i7 2.8ghz 16 gb ram 1 tb hdd windows 10 home|vn7-593g-76ss,$997.49,acer,nh.q23aa.001,windows 10,refurbished acer 15.6 intel core i7 2.8ghz 16 gb ram 1 tb hdd windows 10 home|vn7-593g-76ss $997.49 nh.q23aa.001,1
10,a1002,w2733,hp elitebook folio 1040 g3 notebook pc (v1p90ut) energy star intel core i5-6200u 8gb ram 256gb ssd win10 dg win7,$1.297.50,hp,v1p90ut#aba,windows 7 professional 64 (available through downgrade rights from windows 10 pro 64),hp elitebook folio 1040 g3 notebook pc (v1p90ut) energy star intel core i5-6200u 8gb ram 256gb ssd win10 dg win7 $1.297.50 v1p90ut#aba windows professional 64 (available through downgrade rights from windows pro 64),hp elitebook 1040 g3 - 14 - core i5 6300u - 8 gb ram - 256 gb ssd,$1.358.27,hp,v1p91ut#aba,windows 7,hp elitebook 1040 g3 - 14 - core i5 6300u - 8 gb ram - 256 gb ssd $1.358.27 v1p91ut#aba windows 7,1
11,a1002,w2943,hp elitebook folio 1040 g3 notebook pc (v1p90ut) energy star intel core i5-6200u 8gb ram 256gb ssd win10 dg win7,$1.297.50,hp,v1p90ut#aba,windows 7 professional 64 (available through downgrade rights from windows 10 pro 64),hp elitebook folio 1040 g3 notebook pc (v1p90ut) energy star intel core i5-6200u 8gb ram 256gb ssd win10 dg win7 $1.297.50 v1p90ut#aba windows professional 64 (available through downgrade rights from windows pro 64),hp elitebook 1040 g3 - 14 - core i5 6200u - 8 gb ram - 256 gb ssd,$1.298.00,hp,v1p90ut#aba,windows 7,hp elitebook 1040 g3 - 14 - core i5 6200u - 8 gb ram - 256 gb ssd $1.298.00 v1p90ut#aba windows 7,1
12,a1002,w2946,hp elitebook folio 1040 g3 notebook pc (v1p90ut) energy star intel core i5-6200u 8gb ram 256gb ssd win10 dg win7,$1.297.50,hp,v1p90ut#aba,windows 7 professional 64 (available through downgrade rights from windows 10 pro 64),hp elitebook folio 1040 g3 notebook pc (v1p90ut) energy star intel core i5-6200u 8gb ram 256gb ssd win10 dg win7 $1.297.50 v1p90ut#aba windows professional 64 (available through downgrade rights from windows pro 64),hp elitebook 1040 g3 - 14 - core i5 6200u - 8 gb ram - 128 gb ssd,$1.309.18,hp,v1p89ut#aba,windows 7,hp elitebook 1040 g3 - 14 - core i5 6200u - 8 gb ram - 128 gb ssd $1.309.18 v1p89ut#aba windows 7,1
15,a1004,w1196,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome,$425.00,lenovo,20gl0000us,chrome os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome $425.00 20gl0000us os,lenovo thinkpad 13 chromebook - 13.3 - celeron 3855u - 4 gb ram - 16 gb ssd, ,lenovo,20gl0006us,chrome os,lenovo thinkpad 13 chromebook - 13.3 - celeron 3855u - 4 gb ram - 16 gb ssd 20gl0006us os,1
17,a1004,w1819,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome,$425.00,lenovo,20gl0000us,chrome os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome $425.00 20gl0000us os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome,$469.72,lenovo,20gl0000us-2-zzz,chrome os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome $469.72 20gl0000us-2-zzz os,1
18,a1004,w1840,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome,$425.00,lenovo,20gl0000us,chrome os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome $425.00 20gl0000us os,lenovo thinkpad 11e 20hv0000us 11.6 lcd netbook,$736.99,lenovo,20hv0000us,microsoft windows windows 10 pro (english),lenovo thinkpad 11e 20hv0000us 11.6 lcd netbook $736.99 microsoft windows windows 10 pro (english),1
